,Count,Mean,Std,Min,Median,P90,P99,Max
LwM2M Server,10,26.8,1.6,24,27.0,28.2,29.8,30
Thread Commission,8,32.2,1.2,30,32.0,33.3,33.9,34
Thread Diag,30,258.2,712.8,25,27.0,230.4,2601.7,2749
Power Meter,9,269.8,728.7,25,27.0,465.8,2038.3,2213
Thread Neighbor,38,282.3,763.3,25,27.0,651.8,2788.0,3020
Conn Monitor,39,395.9,881.5,24,27.0,2247.2,2752.4,2858
Device,18,437.2,948.9,25,26.5,2329.1,2714.2,2782
Thread CLI,19,548.5,1037.2,24,29.0,2456.4,2669.7,2674
Thread Network,37,888.8,1260.1,25,35.0,2752.2,2901.5,2913
ALL,208,423.3,919.0,24,27.0,2386.0,2879.4,3020
